epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2545,2.48511,4.36011,2.1194,0,0,0,0,nan,nan,nan,0.073,0.003,0.003
2,25.7326,2.07568,2.22873,1.89615,8e-05,0.01389,4e-05,0,nan,nan,nan,0.0450698,0.0060698,0.0060698
3,37.8758,1.91348,1.92579,1.79937,0.00067,0.02511,0.00038,8e-05,4.41455,inf,133.018,0.0171089,0.00910892,0.00910892
4,49.9193,1.8379,1.85545,1.75464,0.14252,0.19147,0.14065,0.05983,4.22231,44.4912,6.08646,0.0098515,0.0098515,0.0098515
5,61.8497,1.75126,1.71481,1.69874,0.49292,0.18266,0.14273,0.06597,2.86679,3.85412,3.33023,0.009802,0.009802,0.009802
6,73.9714,1.71812,1.59856,1.66616,0.64278,0.21717,0.22546,0.0729,2.53833,6.37272,2.95027,0.0097525,0.0097525,0.0097525
7,86.2849,1.66392,1.51922,1.623,0.3227,0.27697,0.26868,0.12615,2.77088,4.36248,3.26681,0.009703,0.009703,0.009703
8,98.5513,1.63207,1.45202,1.58154,0.55377,0.36235,0.36762,0.17146,2.26932,4.95662,2.4241,0.0096535,0.0096535,0.0096535
9,110.703,1.58629,1.36485,1.54741,0.52286,0.36529,0.41643,0.197,2.44933,2.2833,2.74626,0.009604,0.009604,0.009604
10,122.64,1.54656,1.29882,1.51253,0.71269,0.48296,0.46863,0.16635,2.63785,2.03123,2.33518,0.0095545,0.0095545,0.0095545
11,134.521,1.51243,1.25727,1.50029,0.56574,0.51658,0.52422,0.24448,1.99668,1.98876,1.89055,0.009505,0.009505,0.009505
12,146.58,1.51084,1.22359,1.49453,0.6987,0.55406,0.54673,0.23576,2.17451,1.75137,1.86414,0.0094555,0.0094555,0.0094555
13,158.223,1.52397,1.2266,1.49203,0.69516,0.58897,0.60679,0.29109,1.96431,1.5915,1.81612,0.009406,0.009406,0.009406
14,170.229,1.43713,1.13133,1.44474,0.65829,0.59467,0.57013,0.2745,1.86191,1.51409,1.7489,0.0093565,0.0093565,0.0093565
15,182.078,1.44231,1.13355,1.44584,0.63478,0.67512,0.64369,0.31787,1.98787,1.57914,1.93324,0.009307,0.009307,0.009307
16,194.38,1.41624,1.09468,1.42719,0.66111,0.5659,0.54023,0.29945,1.92019,1.74738,1.7874,0.0092575,0.0092575,0.0092575
17,206.264,1.38967,1.05697,1.39368,0.746,0.5919,0.62075,0.29231,2.0757,1.62216,1.85228,0.009208,0.009208,0.009208
18,218.091,1.38741,1.04005,1.38705,0.53842,0.60508,0.60783,0.32038,1.74384,1.48839,1.72009,0.0091585,0.0091585,0.0091585
19,229.977,1.37291,1.03965,1.38783,0.5937,0.48271,0.49686,0.24172,2.0916,1.79551,2.04385,0.009109,0.009109,0.009109
20,241.842,1.358,1.02799,1.37321,0.68665,0.28335,0.33786,0.16091,2.28056,2.46316,2.27279,0.0090595,0.0090595,0.0090595
21,253.572,1.32281,0.99717,1.36183,0.74717,0.6888,0.67237,0.34273,1.87646,1.20353,1.69288,0.00901,0.00901,0.00901
22,265.468,1.3206,0.96886,1.34139,0.69378,0.71988,0.71548,0.36086,1.80698,1.22944,1.6177,0.0089605,0.0089605,0.0089605
23,277.417,1.27222,0.94037,1.31803,0.69352,0.58498,0.61972,0.33323,1.75076,1.46099,1.6699,0.008911,0.008911,0.008911
24,289.129,1.24835,0.9061,1.29236,0.76393,0.60221,0.65731,0.39615,1.55978,1.19227,1.47498,0.0088615,0.0088615,0.0088615
