epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6237,2.03473,5.90595,2.24927,0,0,0,0,nan,nan,nan,0.0692647,0.00161765,0.00161765
2,51.5718,1.83572,2.154,2.12903,0,0,0,0,nan,nan,nan,0.0375655,0.0032518,0.0032518
3,77.5161,1.66598,1.7264,1.96999,0.03336,0.49485,0.02114,0.00818,nan,nan,nan,0.00583334,0.00485295,0.00485295
4,103.295,1.63526,1.53807,1.88472,0.03336,0.49485,0.02114,0.00818,5.90052,35.7528,9.97171,0.0048515,0.0048515,0.0048515
5,128.966,1.51736,1.42343,1.82891,0.10834,0.08247,0.02769,0.00782,2.90427,7.65889,4.65771,0.004802,0.004802,0.004802
6,154.453,1.51342,1.35553,1.79392,0.5618,0.24742,0.24908,0.08473,2.82103,6.5619,4.6376,0.0047525,0.0047525,0.0047525
7,180.402,1.44944,1.23954,1.71711,0.26281,0.25773,0.13803,0.04055,2.92982,4.17975,5.6945,0.004703,0.004703,0.004703
8,205.947,1.40811,1.19808,1.73424,0.64728,0.70103,0.71176,0.33323,1.72988,2.29371,3.34156,0.0046535,0.0046535,0.0046535
9,231.828,1.35903,1.12185,1.67758,0.74726,0.76202,0.75901,0.34685,2.00798,1.53612,4.25027,0.004604,0.004604,0.004604
10,257.653,1.35682,1.10318,1.68446,0.61597,0.81026,0.68739,0.31871,1.81446,1.89007,3.26262,0.0045545,0.0045545,0.0045545
11,283.124,1.34863,1.05789,1.65706,0.70065,0.45361,0.49317,0.20097,2.36287,2.80739,4.32147,0.004505,0.004505,0.004505
12,308.793,1.33956,1.03408,1.6278,0.4257,0.36082,0.27,0.09595,2.38546,3.46472,4.228,0.0044555,0.0044555,0.0044555
13,334.141,1.28114,1.00922,1.61216,0.6591,0.75258,0.68301,0.29141,1.75137,1.50458,3.06861,0.004406,0.004406,0.004406
14,359.667,1.27441,0.99189,1.60825,0.62719,0.85567,0.67854,0.30918,1.76836,1.711,3.23467,0.0043565,0.0043565,0.0043565
15,385.246,1.28214,0.97491,1.59449,0.65565,0.86598,0.73904,0.40637,1.60025,1.26745,2.91677,0.004307,0.004307,0.004307
16,411.154,1.24723,0.98842,1.57064,0.61283,0.91753,0.75653,0.38843,1.56402,1.34065,2.68508,0.0042575,0.0042575,0.0042575
17,436.51,1.27316,0.96548,1.56703,0.39272,0.21649,0.22707,0.10286,2.98298,3.10477,4.64931,0.004208,0.004208,0.004208
18,462.056,1.24297,0.92149,1.56768,0.78698,0.87629,0.82703,0.43059,1.74392,1.04889,3.29021,0.0041585,0.0041585,0.0041585
19,487.788,1.2225,0.9045,1.54625,0.73277,0.25449,0.32223,0.11725,2.34476,2.69043,3.92633,0.004109,0.004109,0.004109
20,513.199,1.23384,0.87715,1.52482,0.84519,0.94845,0.91027,0.54366,1.50383,0.95839,2.59763,0.0040595,0.0040595,0.0040595
21,539.25,1.19812,0.86481,1.51125,0.8394,0.92784,0.88447,0.49417,1.40209,1.135,2.46126,0.00401,0.00401,0.00401
22,564.757,1.18876,0.86481,1.53968,0.86428,0.91911,0.91355,0.54402,1.42202,0.90925,2.43938,0.0039605,0.0039605,0.0039605
23,590.388,1.19173,0.84245,1.50955,0.81348,0.89926,0.86603,0.48302,1.54576,0.94614,2.56479,0.003911,0.003911,0.003911
24,616.018,1.22885,0.85292,1.54298,0.88418,0.96907,0.9242,0.54135,1.4045,0.83597,2.42509,0.0038615,0.0038615,0.0038615
25,641.584,1.1961,0.84396,1.52079,0.91792,0.9224,0.92901,0.53008,1.47245,0.89853,2.46951,0.003812,0.003812,0.003812
26,667.042,1.17724,0.80925,1.48681,0.88008,0.90794,0.94004,0.53161,1.57043,0.85248,2.57087,0.0037625,0.0037625,0.0037625
27,692.314,1.15784,0.82713,1.51314,0.86956,0.95876,0.95576,0.57115,1.30289,0.88487,2.28927,0.003713,0.003713,0.003713
28,717.908,1.1489,0.81753,1.49361,0.90256,0.95494,0.92878,0.58408,1.34241,0.74019,2.31855,0.0036635,0.0036635,0.0036635
29,743.854,1.14356,0.78716,1.48382,0.82703,0.85567,0.91123,0.49937,1.44656,0.96422,2.3976,0.003614,0.003614,0.003614
30,769.225,1.15058,0.80721,1.48987,0.71681,0.75678,0.78626,0.429,1.4951,1.19013,2.55329,0.0035645,0.0035645,0.0035645
31,794.667,1.15529,0.78513,1.47807,0.79925,0.86195,0.87925,0.5121,1.54136,0.95589,2.52326,0.003515,0.003515,0.003515
32,820.107,1.11152,0.78013,1.47221,0.88079,0.91753,0.90608,0.55531,1.53407,0.73217,2.78214,0.0034655,0.0034655,0.0034655
33,845.563,1.13177,0.77731,1.46375,0.91926,0.95876,0.94432,0.5884,1.43878,0.76735,2.53717,0.003416,0.003416,0.003416
34,871.545,1.11822,0.75951,1.45883,0.92553,0.8969,0.92588,0.54278,1.51127,0.77313,2.59171,0.0033665,0.0033665,0.0033665
35,897.167,1.11695,0.7636,1.4624,0.88185,0.93814,0.91571,0.55567,1.37784,0.87383,2.40874,0.003317,0.003317,0.003317
36,922.683,1.11707,0.7641,1.4627,0.91038,0.97938,0.96356,0.57477,1.40386,0.83309,2.44584,0.0032675,0.0032675,0.0032675
37,948.31,1.13152,0.75518,1.45965,0.91313,0.97534,0.96042,0.61228,1.37115,0.79308,2.3754,0.003218,0.003218,0.003218
38,974.061,1.11209,0.75013,1.47448,0.89322,0.95876,0.94313,0.60485,1.33472,0.75955,2.32966,0.0031685,0.0031685,0.0031685
39,999.656,1.09752,0.7284,1.4354,0.91823,0.95876,0.94724,0.61134,1.35433,0.73345,2.30236,0.003119,0.003119,0.003119
40,1025.17,1.11469,0.74243,1.46696,0.88271,0.94845,0.91189,0.56604,1.35526,0.82811,2.32589,0.0030695,0.0030695,0.0030695
41,1050.59,1.1187,0.7385,1.43878,0.8948,0.96459,0.96415,0.57977,1.39257,0.75806,2.44847,0.00302,0.00302,0.00302
42,1076.01,1.05156,0.70654,1.42738,0.89501,0.9667,0.96637,0.5943,1.31415,0.77638,2.2531,0.0029705,0.0029705,0.0029705
43,1101.39,1.08299,0.70065,1.44601,0.87545,0.95876,0.941,0.53282,1.41607,0.845,2.39311,0.002921,0.002921,0.002921
44,1126.74,1.0789,0.71691,1.43521,0.90234,0.95255,0.9427,0.62824,1.28296,0.69998,2.28578,0.0028715,0.0028715,0.0028715
45,1152.82,1.08941,0.71225,1.42593,0.91403,0.96907,0.95881,0.57642,1.38303,0.73184,2.30388,0.002822,0.002822,0.002822
46,1178.51,1.08329,0.69833,1.41983,0.92764,0.96907,0.95822,0.63884,1.31422,0.69263,2.24455,0.0027725,0.0027725,0.0027725
47,1204.36,1.07095,0.69798,1.42738,0.9339,0.96907,0.96631,0.60882,1.41806,0.67064,2.35844,0.002723,0.002723,0.002723
48,1229.94,1.04662,0.68971,1.4063,0.89238,0.95876,0.94415,0.59117,1.39391,0.73115,2.36073,0.0026735,0.0026735,0.0026735
49,1255.44,1.05015,0.67473,1.4074,0.93252,0.93814,0.94255,0.62249,1.31071,0.74415,2.27735,0.002624,0.002624,0.002624
